Word	Frequency
rt	1077
the	280
a	253
to	194
i	174
you	150
de	146
and	143
is	128
of	122
in	117
que	102
me	101
for	98
this	93
no	79
it	77
my	77
y	70
that	66
la	59
on	59
be	56
en	51
el	50
are	48
im	48
so	46
have	45
with	44
btstwt	42
what	41
its	40
like	39
at	39
just	37
se	36
من	36
we	35
by	34
was	34
he	34
all	33
love	32
do	32
الله	32
क	32
when	31
who	31
your	30
but	30
not	30
if	30
dont	29
as	29
from	28
about	28
get	28
es	27
they	27
one	27
lo	27
si	27
e	26
more	26
los	25
time	25
o	25
mi	24
amp	24
can	23
up	22
bts	22
un	22
le	22
para	21
her	21
our	21
ya	20
how	20
new	20
te	20
maeil	20
will	19
na	19
في	19
now	19
an	19
know	18
or	18
out	18
people	18
yes	18
chicago	18
only	18
les	17
una	17
con	17
por	17
make	17
ह	17
their	17
his	16
c	16
has	16
amas	16
como	16
she	16
não	16
fuck	16
want	15
v	15
cant	15
good	15
da	15
life	15
tu	15
eu	15
لا	15
على	15
cuando	15
still	15
thank	14
u	14
é	14
some	14
las	14
day	14
و	14
way	13
yo	13
방탄소년단	13
why	13
year	13
today	13
favorite	13
because	13
thats	13
vote	12
back	12
any	12
shit	12
pero	12
did	12
didnt	12
vida	12
hit	12
go	12
been	12
him	12
كل	12
q	11
h	11
ما	11
always	11
october	11
guys	11
best	11
в	11
really	11
स	11
à	11
عن	11
trump	11
need	11
video	11
artist	11
real	11
see	11
much	11
태형	10
think	10
things	10
free	10
ass	10
ni	10
s	10
twitter	10
w	10
game	10
first	10
kavanaugh	10
us	9
than	9
heart	9
part	9
너무	9
cest	9
these	9
sur	9
days	9
ever	9
yall	9
son	9
happy	9
म	9
tá	9
team	9
gumihojung	9
bad	9
too	9
t	9
social	9
after	9
money	9
feel	9
yet	9
there	9
friends	9
them	9
most	9
cute	9
com	9
más	9
yang	9
said	8
rp	8
d	8
des	8
du	8
mas	8
vai	8
could	8
jimin	8
btsbighit	8
take	8
solo	8
al	8
years	8
old	8
tak	8
world	8
off	8
人気投票ガチャ	8
モンスト	8
ill	8
come	8
n	8
many	8
last	8
taehyung	8
got	8
let	8
su	8
going	8
story	8
business	8
men	8
nos	8
ela	8
ตามทกครบ	8
say	7
here	7
am	7
should	7
m	7
pra	7
follow	7
own	7
soy	7
gente	7
meu	7
أن	7
um	7
foto	7
भ	7
song	7
bong	7
then	7
before	7
dia	7
via	7
и	7
hell	7
nct	7
hope	7
ho	7
live	7
लग	7
youtube	7
ive	7
st	7
everyone	7
يا	7
please	7
ज	7
great	7
pq	7
hes	7
dan	7
another	7
keep	7
coming	6
به	6
vs	6
getting	6
without	6
well	6
night	6
est	6
looking	6
tapi	6
must	6
running	6
hate	6
سعودي	6
الفضائية	6
한	6
del	6
só	6
tengo	6
anything	6
smart	6
yourself	6
뷔	6
진짜	6
il	6
p	6
yeah	6
into	6
times	6
ad	6
estoy	6
di	6
next	6
hay	6
post	6
over	6
says	6
better	6
ford	6
lol	6
were	6
fucking	6
gonna	6
never	6
سبحان	6
ve	6
